audio,text,start,duration,handcrafted
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"You and your friend need to ace 
Friday’s exam to avoid summer classes,",6.961,4.546,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"and after a week of studying, you both
feel confident that you pulled it off.",11.799,4.296,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"But when you get your grades back,",16.471,1.626,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"they’re much lower 
than the two of you expected.",18.097,2.711,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,You’re devastated.,21.017,1.209,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"However, your friend doesn't
seem too bothered,",22.393,2.961,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"and it's making you wonder why you can't
shake this off like they can.",25.354,3.921,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"But should you really be trying
to look on the bright side?",29.525,3.17,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"And is controlling our emotions 
even possible in the first place?",32.695,4.254,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"The answer to the last question
is a definitive “yes.”",37.45,4.046,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"There are numerous strategies
for regulating our emotions,",41.788,3.169,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"and one framework to understand these
techniques is called the Process Model.",44.957,4.88,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"Psychologists use this tool to identify
where and how to intervene",49.962,4.505,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,in the process that forms our emotions.,54.467,2.544,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,That process has four steps:,57.22,2.502,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"first, we enter a situation, 
real or imagined,",59.722,3.754,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,and that draws our attention.,63.476,2.169,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"Then we evaluate, or appraise, 
the situation",66.062,3.67,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,and whether it helps or hinders our goals.,69.732,2.544,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"Finally, this appraisal leads to a set of 
changes in how we feel, think, and behave,",72.568,5.381,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,known as an emotional response.,78.324,3.086,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"Each step of this process offers 
an opportunity to consciously intervene",81.911,4.88,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"and change our emotions,",86.791,1.96,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"and the Process Model outlines what 
strategies we might try at each phase.",88.835,4.921,1
